internal ID	name	external ID	comment
P0001	Helmholtz, Hermann von		
P0002	Tiersch, Otto		
P0003	Hostinský, Otakar		
P0004	Polak, A. J.		
P0005	Rameau, Jean-Philippe		
P0006	Capellen, Georg		
P0007	Hauptmann, Moritz		
P0008	Haydn, Joseph		
P0009	Winterfeld, Carl von		
P0010	Zarlino, Gioseffo		
P0011	d’Alembert		
P0012	Kiesewetter		
P0013	Hegel		
P0014	Weber, Gottfried		
P0015	Mozart, W. A.		
P0016	Beethoven		
P0017	Riemann, Hugo		
P0018	Oettingen, A. v.		
P0019	Stumpf		
P0020	Salinas, Fr.		
P0021	Descartes		
P0022	Mersenne		
P0023	Tartini		
P0024	Levens		
P0025	Serre		
P0026	Blamville		
P0027	Jamard		
P0028	Vallotti		
P0029	Sabbatini		
P0030	Thürlings		
P0031	Krisper, A.		
P0032	Sauveurs		
P0033	Lotze, Hermann		
P0034	Goethe		
P0035	Hiller, F.		
P0036	Kirnberger		
P0037	Rebikoff, W.		
P0038	Debussy, Claude		
P0039	Hutschenruyter, W. 		
P0040	Belinfante, Ary		
P0041	Weitzmann, C. F.		
P0042	Brendel, Dr.		
P0043	Schumann, Robert		
P0044	Berlioz, Hector		
P0045	Wagner, Richard		
P0046	Liszt, Franz		
P0047	Bagge, Selmar		
P0048	Kretschmann, C.		
P0049	Gluck		
P0050	Weber, Carl Maria von		
P0051	Marpurg		
P0052	Monteverdi		
P0053	Fétis, S.		
P0054	Bach, J. S.		
P0055	Krüger, Eduard		
P0056	Vischer		an aesthetician apparently quoted by Helmholtz, according to Thürlings
P0057	Euler		
P0058	Zamminer		
P0059	Ptolemäus		
P0060	Fasch		
P0061	Kinkel, Johanna		
P0062	Aristoxenos		
P0063	Thimus, Freiherr A. v.		
P0064	Hasenclever, Dr. Richard		
P0065	Aristoteles		
P0066	Schubring, G.		
P0067	Völkel, Dr. A.		
P0068	Heraklit		
P0069	Glarean, Heinrich		
P0070	Chladini		
P0071	Schröder, Hermann		
P0072	Billroth		
P0073	Nithard	 	medival composer of dance-songs
P0074	Riemann, Ludwig		not Hugo Riemann
P0075	Plato		
P0076	Euklid		
P0077	Henning		
P0078	Marx, A. B.		
P0079	Strauss, Johann		
P0080	Richter, E. F.		
P0081	Ziehn		
P0082	Grädener		
P0083	Mayrberger		
P0084	Rischbieter		
P0085	Schubert, Franz		
P0086	Wundt		
P0087	Röntgen		
P0088	Rousseau, J. J.		
P0089	Morambet, M. de		
P0090	Naumann, Carl Ernst		
P0091	Drobisch, M. W.		
P0092	Opelt, F. W.		
P0093	Dehn, S. W.		
P0094	Poggendorf		
P0095	Möhring, J. N.		
P0096	Érard, Sébastien		Instrumentenbauer
P0097	Spohr, Louis		
P0098	Pythagoras		
P0099	Eximeno, D. Ant. 		(Autoren in "der neuen Aristoxener zerstreute Aufsätze über das Irrige der musikalischen Arithmetik und das Eitle ihrer Temperaturrechnungen")
P0100	Drieberg, Fr. v.		(Autoren in "der neuen Aristoxener zerstreute Aufsätze über das Irrige der musikalischen Arithmetik und das Eitle ihrer Temperaturrechnungen")
P0101	Krieger, Joseph		(Autoren in "der neuen Aristoxener zerstreute Aufsätze über das Irrige der musikalischen Arithmetik und das Eitle ihrer Temperaturrechnungen")
P0102	Herbart		
P0103	Meyer		"Musikdirector" ; Naumann p. 49
P0104	Delezenne		
P0105	Mach, E.		
P0106	Blaserna, P.		
P0107	Lully		
P0108	Scheibler		
P0109	Preyer		
P0110	Despretz		Physiker, Host., S. 12
P0111	Ellis, A.		Composer or theorist?, Host. S. 15
P0112	Joachim, [Joseph?]		Most likely the famous violin soloist from context. Cited as having participated in an experiment by Helmholtz
P0113	Fourier		
P0114	Ohm, G. S.		
P0115	Sorge		
P0116	Bonnet		
P0117	Condillac		
P0118	Volkmar, Ph. Dr. Vilhelm Volkmann Ritter von		
P0119	Corti		
P0120	Kölliker		
P0121	Hensen		
P0122	Zimmermann, R.		
P0123	Marquard, Paul		as translator and editor of Aristoxenos
P0124	Zeisig		
P0125	Leibnitz		
P0126	Lessing		
P0127	Kant		
P0128	Tappert, W.		
P0129	Leibrock, Ad. J.		
P0130	Laurencin, Graf		
P0131	Ambros, A. W.		
P0132	Marenzio, Luca		
P0133	Kraushaar, Otto		
P0134	Kunkel, F. J.		
P0135	Kretschmer, Andreas		
P0136	Türk		
P0137	Schneider, F.		
P0138	Hucbald		Monk, music theorist and composer around 900
P0139	Vogler		
P0140	André, A.		
P0141	Koch, H. Chr.		
P0142	Fink, G. W.		
P0143	Portmann		
P0144	Lobe, J. C.		
P0145	Schütze, F. W.		
P0146	Albrechtsberger, Johann Georg		
P0147	Auber		
P0148	Zumsteeg		
P0149	Cherubini		
P0150	Hummel, J. N.		
P0151	Schilling		
P0152	Schiller, Friedrich		
P0153	Oulibicheff, Alexander		
P0154	Stöpel		
P0155			
P0156			
